"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";41;"";;;
2;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
3;"REF**";"Logo-Front-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
4;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
5;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
6;"G***";"Logo-Back-SolderedVERTICAL-10mm";1;"LOGO";;;
7;"K3";"easyC-connector";1;"easyC-SMD";;;
8;"K4";"RASPBERRY_PI4_HEADER";1;"RASPBERRY_PI4_HEADER";;;
9;"G***";"Logo-Front-easyC-5mm";1;"LOGO";;;
10;"K5,K1,K6,K2";"HEADER_MALE_10X1";4;"HEADER_MALE_10X1";;;
11;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
